country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
Honduras,Atlántida,0,445232,445232,445232,16622,1094,1194,981,1420,1099,1379,2100,1863,2311,1017,1409,1547,2978,3001,2599,3603,7057,4704,5639,5017,4687,3674,4894,3412
Honduras,Atlántida,10,445232,365387,360192,16622,1089,1185,974,1409,1090,1366,2083,1847,2302,1009,1389,1514,2781,2748,2395,3342,6354,4233,5072,4592,4193,3382,4231,2839
Honduras,Atlántida,15,445232,358049,356972,16622,1088,1183,973,1408,1089,1364,2081,1846,2300,1008,1387,1509,2752,2712,2359,3290,6235,4154,5000,4528,4140,3348,4146,2784
Honduras,Atlántida,20,445232,353643,355864,16622,1087,1183,973,1407,1087,1363,2080,1845,2298,1007,1385,1505,2729,2681,2333,3258,6157,4103,4951,4488,4105,3327,4095,2746
Honduras,Atlántida,25,445232,350105,354077,16622,1086,1182,973,1406,1087,1361,2078,1843,2297,1007,1383,1500,2711,2662,2317,3240,6109,4071,4914,4458,4078,3311,4058,2718
Honduras,Atlántida,30,445232,346150,348629,16622,1086,1181,973,1406,1086,1360,2076,1843,2296,1006,1381,1497,2693,2642,2300,3216,6059,4039,4881,4435,4048,3294,4018,2685
Honduras,Atlántida,50,445232,329312,321546,16622,1072,1162,960,1389,1070,1336,2043,1818,2277,992,1364,1470,2587,2516,2201,3098,5793,3858,4692,4277,3903,3200,3827,2542
Honduras,Atlántida,75,445232,299459,284428,16622,993,1071,901,1289,995,1228,1919,1717,2192,934,1291,1372,2343,2246,1973,2782,5167,3456,4305,3894,3605,3003,3436,2295
Honduras,Choluteca,0,441421,441421,441421,2651,1044,588,604,932,566,1237,849,516,517,742,157,659,436,318,188,527,680,238,154,219,103,136,187,165
Honduras,Choluteca,10,441421,177795,156681,2651,1021,563,587,897,544,1185,814,487,496,720,146,629,309,236,147,387,571,190,130,187,87,121,144,135
Honduras,Choluteca,15,441421,169657,153213,2651,1018,559,583,891,540,1177,806,483,492,716,144,625,300,227,143,376,561,186,127,183,86,120,140,132
Honduras,Choluteca,20,441421,159851,150093,2651,1012,551,576,882,535,1160,797,475,486,710,142,619,290,217,138,364,545,180,123,180,83,117,134,127
Honduras,Choluteca,25,441421,151885,142873,2651,1010,548,573,879,531,1152,792,470,484,705,140,615,282,211,135,356,535,177,118,178,80,116,130,125
Honduras,Choluteca,30,441421,143542,137020,2651,1007,542,567,870,526,1142,784,466,480,699,139,609,272,206,131,349,522,175,113,174,77,113,127,122
Honduras,Choluteca,50,441421,101232,98067,2651,904,437,447,748,430,922,630,381,407,586,114,535,206,153,89,263,408,136,75,153,62,94,92,90
Honduras,Choluteca,75,441421,45277,58591,2651,621,232,207,479,231,479,329,207,231,336,66,343,76,65,35,116,175,53,30,83,33,44,42,39
Honduras,Colón,0,841455,841455,841455,34984,5480,5835,5742,4904,6786,6382,6719,7248,9272,7267,4092,8340,8359,12655,8808,18108,14350,12257,13038,12120,10914,7829,10035,6877
Honduras,Colón,10,841455,732358,709581,34984,5472,5825,5735,4898,6770,6363,6705,7239,9259,7261,4069,8175,8124,12273,8600,17240,13705,11670,12355,11608,10018,7545,9385,6275
Honduras,Colón,15,841455,723482,703972,34984,5469,5821,5733,4896,6767,6361,6701,7236,9255,7259,4067,8160,8104,12220,8566,17125,13617,11594,12270,11544,9918,7512,9319,6232
Honduras,Colón,20,841455,717112,701852,34984,5468,5818,5731,4893,6763,6357,6699,7233,9253,7258,4063,8146,8081,12180,8544,17043,13558,11542,12206,11501,9830,7488,9272,6204
Honduras,Colón,25,841455,712168,698009,34984,5466,5816,5729,4892,6761,6354,6697,7232,9250,7256,4060,8132,8058,12152,8530,16994,13522,11510,12162,11475,9781,7476,9238,6176
Honduras,Colón,30,841455,705526,689226,34984,5464,5814,5727,4891,6757,6352,6694,7229,9248,7254,4058,8120,8039,12118,8512,16935,13469,11469,12106,11436,9715,7448,9189,6144
Honduras,Colón,50,841455,677994,643740,34984,5436,5773,5699,4869,6722,6307,6659,7198,9213,7235,4039,8007,7915,11916,8406,16617,13214,11250,11824,11239,9420,7335,8952,5972
Honduras,Colón,75,841455,626751,578616,34984,5267,5567,5533,4744,6520,6107,6440,7060,9043,7131,3967,7652,7615,11420,8089,15689,12555,10692,11159,10717,8828,7101,8501,5662
Honduras,Comayagua,0,492594,492594,492594,4110,913,1447,897,1349,675,1193,2042,622,1873,1205,3543,1309,1873,1863,2384,17994,5530,1681,1523,2310,1020,1029,1711,1568
Honduras,Comayagua,10,492594,368245,331871,4110,838,1430,865,1314,641,1151,1984,599,1833,1156,3524,1292,1810,1816,2309,17854,5423,1621,1426,2210,945,957,1561,1429
Honduras,Comayagua,15,492594,357513,328795,4110,831,1429,861,1310,639,1145,1978,596,1827,1152,3518,1290,1801,1809,2293,17820,5398,1608,1413,2193,936,947,1540,1415
Honduras,Comayagua,20,492594,343381,324124,4110,815,1424,855,1302,633,1138,1966,594,1820,1135,3511,1285,1785,1797,2270,17734,5350,1595,1393,2174,923,930,1511,1395
Honduras,Comayagua,25,492594,333132,316105,4110,805,1421,852,1299,631,1130,1957,590,1813,1122,3504,1281,1773,1786,2247,17665,5310,1581,1379,2161,912,917,1490,1378
Honduras,Comayagua,30,492594,324105,309145,4110,795,1417,845,1293,627,1121,1947,587,1807,1112,3493,1276,1761,1772,2221,17593,5269,1567,1362,2143,900,903,1471,1361
Honduras,Comayagua,50,492594,252047,251062,4110,619,1282,730,1161,535,930,1725,509,1599,897,3208,1160,1568,1579,1875,16040,4581,1387,1166,1933,789,765,1256,1196
Honduras,Comayagua,75,492594,155036,185113,4110,411,964,497,835,361,587,1235,364,1097,512,2378,884,1047,1061,1156,11080,2986,913,744,1404,531,497,805,833
Honduras,Copán,0,332023,332023,332023,1632,1177,1912,330,691,838,451,1052,526,629,1106,1008,1163,1355,1482,1424,5151,1992,2421,1816,1269,643,739,1692,876
Honduras,Copán,10,332023,260007,245318,1632,1157,1900,326,685,824,443,1043,519,623,1092,996,1155,1320,1428,1358,4967,1892,2268,1667,1172,593,689,1520,811
Honduras,Copán,15,332023,253525,240529,1632,1154,1896,326,683,823,442,1042,519,623,1090,995,1154,1315,1423,1348,4941,1876,2244,1648,1158,586,682,1497,802
Honduras,Copán,20,332023,246983,238062,1632,1149,1892,325,680,820,441,1040,518,620,1086,992,1152,1309,1417,1334,4914,1859,2221,1627,1145,579,675,1473,794
Honduras,Copán,25,332023,242891,233311,1632,1144,1888,324,678,817,440,1038,517,619,1084,990,1151,1305,1412,1326,4898,1851,2205,1614,1136,575,668,1457,790
Honduras,Copán,30,332023,238079,228073,1632,1138,1884,324,676,815,438,1035,515,618,1080,987,1148,1300,1407,1315,4875,1836,2183,1601,1125,569,661,1437,781
Honduras,Copán,50,332023,199225,191039,1632,1037,1806,309,637,771,414,996,489,588,1010,937,1102,1230,1338,1182,4626,1683,1944,1433,1015,510,578,1254,698
Honduras,Copán,75,332023,142399,148446,1632,728,1533,259,505,612,328,846,410,482,797,783,948,1048,1109,882,3838,1296,1439,1080,781,389,406,890,532
Honduras,Cortés,0,394828,394828,394828,11745,718,1454,622,978,710,671,2419,1061,1812,783,1804,1078,2163,1934,2557,7332,6554,2972,4271,4237,4626,1559,2413,2041
Honduras,Cortés,10,394828,287293,274825,11745,711,1443,608,951,692,651,2361,1020,1794,774,1784,1044,2032,1782,2266,6858,5942,2638,3680,3769,3807,1295,2024,1794
Honduras,Cortés,15,394828,280028,271656,11745,710,1442,605,949,691,646,2355,1018,1791,773,1778,1041,2010,1756,2221,6796,5859,2586,3605,3704,3715,1264,1976,1758
Honduras,Cortés,20,394828,274913,270154,11745,709,1441,603,947,689,644,2352,1017,1788,771,1776,1037,1990,1739,2187,6731,5791,2553,3551,3647,3582,1245,1941,1720
Honduras,Cortés,25,394828,270797,267044,11745,708,1439,602,946,688,641,2349,1015,1786,769,1774,1034,1978,1729,2154,6692,5747,2533,3513,3614,3541,1230,1916,1699
Honduras,Cortés,30,394828,265853,261420,11745,706,1438,601,943,687,640,2343,1013,1783,768,1769,1031,1962,1712,2123,6637,5697,2507,3468,3580,3497,1215,1887,1671
Honduras,Cortés,50,394828,241771,229364,11745,687,1367,575,907,665,605,2237,977,1734,737,1717,1005,1866,1604,1942,6187,5329,2325,3217,3360,3155,1109,1691,1524
Honduras,Cortés,75,394828,187654,184617,11745,586,1090,489,736,568,476,1832,844,1503,601,1456,888,1489,1269,1469,4609,4119,1800,2476,2664,2159,826,1170,1190
Honduras,El Paraíso,0,737375,737375,737375,6602,4697,1647,3541,617,1787,1834,857,2675,1997,2026,2268,2521,1570,2099,769,5610,2414,1348,1719,2972,1395,2356,1521,2214
Honduras,El Paraíso,10,737375,478984,446077,6602,4659,1594,3479,599,1675,1782,839,2503,1945,1979,2247,2437,1473,1872,714,5430,2282,1249,1533,2770,1306,2256,1463,2082
Honduras,El Paraíso,15,737375,461161,437236,6602,4653,1587,3473,598,1664,1776,837,2486,1939,1975,2244,2428,1461,1840,708,5403,2266,1237,1511,2742,1293,2243,1452,2064
