Entity,Code,Year,The totalpopulation not using safely managed drinking water services
Afghanistan,AFG,2000,17375016.0
Afghanistan,AFG,2001,17502166.0
Afghanistan,AFG,2002,18478600.0
Afghanistan,AFG,2003,19721662.0
Afghanistan,AFG,2004,20298760.0
Afghanistan,AFG,2005,20814482.0
Afghanistan,AFG,2006,21461522.0
Afghanistan,AFG,2007,21613062.0
Afghanistan,AFG,2008,21808780.0
Afghanistan,AFG,2009,22349454.0
Afghanistan,AFG,2010,22748744.0
Afghanistan,AFG,2011,23337058.0
Afghanistan,AFG,2012,24030742.0
Afghanistan,AFG,2013,24591270.0
Afghanistan,AFG,2014,25209702.0
Afghanistan,AFG,2015,25702078.0
Afghanistan,AFG,2016,26059512.0
Afghanistan,AFG,2017,26493248.0
Afghanistan,AFG,2018,26934956.0
Afghanistan,AFG,2019,27386010.0
Afghanistan,AFG,2020,27903142.0
Afghanistan,AFG,2021,28344768.0
Afghanistan,AFG,2022,28776116.0
Africa (WHO),,2000,533285150.0
Africa (WHO),,2001,545028700.0
Africa (WHO),,2002,556069440.0
Africa (WHO),,2003,567284200.0
Africa (WHO),,2004,578388400.0
Africa (WHO),,2005,589708100.0
Africa (WHO),,2006,601106240.0
Africa (WHO),,2007,612339650.0
Africa (WHO),,2008,623554370.0
Africa (WHO),,2009,634786200.0
Africa (WHO),,2010,645981800.0
Africa (WHO),,2011,667206200.0
Africa (WHO),,2012,678556900.0
Africa (WHO),,2013,689618100.0
Africa (WHO),,2014,700216000.0
Africa (WHO),,2015,710448500.0
Africa (WHO),,2016,720388900.0
Africa (WHO),,2017,730039000.0
Africa (WHO),,2018,740399100.0
Africa (WHO),,2019,753554240.0
Africa (WHO),,2020,767163200.0
Africa (WHO),,2021,780512960.0
Africa (WHO),,2022,795252800.0
Albania,ALB,2000,1618429.4
Albania,ALB,2001,1605781.4
Albania,ALB,2002,1593486.9
Albania,ALB,2003,1580968.5
Albania,ALB,2004,1509331.2
Albania,ALB,2005,1438125.8
Albania,ALB,2006,1367529.8
Albania,ALB,2007,1298053.5
Albania,ALB,2008,1230013.6
Albania,ALB,2009,1163398.2
Albania,ALB,2010,1098333.1
Albania,ALB,2011,1034738.7
Albania,ALB,2012,972330.7
Albania,ALB,2013,910569.0
Albania,ALB,2014,848985.56
Albania,ALB,2015,847680.8
Albania,ALB,2016,846556.94
Albania,ALB,2017,845466.75
Albania,ALB,2018,844306.9
Albania,ALB,2019,843029.06
Albania,ALB,2020,840716.75
Albania,ALB,2021,836264.56
Albania,ALB,2022,831774.9
Algeria,DZA,2000,9208224.0
Algeria,DZA,2001,9159928.0
Algeria,DZA,2002,9110488.0
Algeria,DZA,2003,9063171.0
Algeria,DZA,2004,9022373.0
Algeria,DZA,2005,8979660.0
Algeria,DZA,2006,8945774.0
Algeria,DZA,2007,8930706.0
Algeria,DZA,2008,8924893.0
Algeria,DZA,2009,8930049.0
Algeria,DZA,2010,8943716.0
Algeria,DZA,2011,8964160.0
Algeria,DZA,2012,8991859.0
Algeria,DZA,2013,9025093.0
Algeria,DZA,2014,9062812.0
Algeria,DZA,2015,9106012.0
Algeria,DZA,2016,9522155.0
Algeria,DZA,2017,9983616.0
Algeria,DZA,2018,10466603.0
Algeria,DZA,2019,11123092.0
Algeria,DZA,2020,12058642.0
Algeria,DZA,2021,13011725.0
Algeria,DZA,2022,13202477.0
American Samoa,ASM,2000,11311.063
American Samoa,ASM,2001,10721.867
American Samoa,ASM,2002,10086.357
American Samoa,ASM,2003,9436.87
American Samoa,ASM,2004,8777.765
American Samoa,ASM,2005,8114.704
American Samoa,ASM,2006,7451.119
American Samoa,ASM,2007,7015.2725
American Samoa,ASM,2008,6825.689
American Samoa,ASM,2009,6634.416
American Samoa,ASM,2010,6446.4897
American Samoa,ASM,2011,6258.408
American Samoa,ASM,2012,6063.7627
American Samoa,ASM,2013,5863.441
American Samoa,ASM,2014,5657.4365
American Samoa,ASM,2015,5447.472
American Samoa,ASM,2016,5234.0415
